# event No.,GOES start,end,peak,AR location,X-ray class,event loc. (EW),event loc. (NS),SOT,XRT,EIS,RHESSI,NoRH
109640,2014/08/12 06:53,2014/08/12 07:18,2014/08/12 06:55,N11W42,B4.9,641,139,0,15,0,no,
109650,2014/08/12 20:13,2014/08/12 20:24,2014/08/12 20:19,N12W49,B6.9,708,130,0,0,0,no,
109660,2014/08/13 00:30,2014/08/13 00:55,2014/08/13 00:36,S20W48,B6.4,666,-394,0,32,0,no,
109670,2014/08/13 11:08,2014/08/13 11:26,2014/08/13 11:17,N11E53,B7.4,-752,127,0,0,0,no,
109680,2014/08/14 02:29,2014/08/14 02:36,2014/08/14 02:33,N15E74,B4.0,-888,227,0,0,0,no,
109690,2014/08/14 03:53,2014/08/14 04:12,2014/08/14 04:00,S20W63,B6.1,807,-378,0,39,0,no,
109700,2014/08/14 04:18,2014/08/14 04:44,2014/08/14 04:20,N13E45,B6.3,-645,139,0,0,0,3-6,
109710,2014/08/14 12:39,2014/08/14 13:06,2014/08/14 12:49,N15E39,B4.8,-587,169,0,0,0,3-6,
109720,2014/08/14 16:08,2014/08/14 16:28,2014/08/14 16:19,N15E37,B5.2,-557,168,0,0,0,no,
109730,2014/08/14 17:26,2014/08/14 18:14,2014/08/14 17:45,S22W70,B5.4,827,-390,0,31,0,no,
109740,2014/08/14 19:13,2014/08/14 19:31,2014/08/14 19:23,N15E66,B7.4,-839,213,0,0,0,3-6,
109750,2014/08/14 20:25,2014/08/14 20:55,2014/08/14 20:33,N15E65,B8.8,-831,214,0,0,0,3-6,
109760,2014/08/14 22:54,2014/08/14 23:11,2014/08/14 22:59,N16E64,B7.1,-822,215,0,0,0,no,
109770,2014/08/15 00:30,2014/08/15 01:14,2014/08/15 00:45,S17W19,B5.0,306,-376,0,53,0,no,
109780,2014/08/15 01:22,2014/08/15 01:48,2014/08/15 01:36,N15E64,B7.1,-820,213,0,52,0,6-12,
109790,2014/08/15 02:34,2014/08/15 02:47,2014/08/15 02:39,N16E30,B6.2,-479,177,16,48,0,6-12,
109800,2014/08/15 03:28,2014/08/15 03:50,2014/08/15 03:40,N13E30,B5.4,-476,122,25,11,0,no,
109810,2014/08/15 06:58,2014/08/15 08:38,2014/08/15 08:08,N19E61,B6.0,-783,308,0,131,0,6-12,
109820,2014/08/15 07:50,2014/08/15 08:02,2014/08/15 07:56,N13E29,B6.5,-458,128,14,46,1,6-12,
109830,2014/08/15 08:27,2014/08/15 08:48,2014/08/15 08:37,N12E27,B9.5,-427,116,14,5,1,no,
109840,2014/08/15 10:05,2014/08/15 10:17,2014/08/15 10:10,S20W22,B9.0,348,-400,0,0,0,no,
109850,2014/08/15 10:31,2014/08/15 10:43,2014/08/15 10:36,N16E59,B7.2,-782,207,0,12,0,no,
109860,2014/08/15 11:54,2014/08/15 12:08,2014/08/15 12:00,N12E25,C1.1,-403,100,0,0,0,12-25,
109870,2014/08/15 13:00,2014/08/15 13:50,2014/08/15 13:47,S19W25,C1.1,380,-406,0,0,0,6-12,
109880,2014/08/15 21:46,2014/08/15 22:06,2014/08/15 21:54,N12E18,C1.5,-294,105,23,0,0,12-25,
109890,2014/08/15 22:34,2014/08/15 22:40,2014/08/15 22:38,S19W32,C1.4,485,-404,0,13,0,no,
109900,2014/08/16 05:41,2014/08/16 06:01,2014/08/16 05:49,N12E12,C1.0,-230,101,0,10,0,12-25,
109910,2014/08/16 09:24,2014/08/16 09:32,2014/08/16 09:30,S21W39,C2.7,583,-374,0,0,0,12-25,
109920,2014/08/17 00:10,2014/08/17 00:32,2014/08/17 00:20,N13E06,B8.4,-90,116,25,28,0,6-12,
109930,2014/08/17 01:51,2014/08/17 02:01,2014/08/17 01:56,S19W47,B7.3,662,-390,0,4,0,6-12,
109940,2014/08/17 07:01,2014/08/17 07:06,2014/08/17 07:04,S18W56,B8.0,746,-360,0,12,0,12-25,
109950,2014/08/17 19:41,2014/08/17 20:06,2014/08/17 19:48,N08E70,C1.8,-883,100,0,0,0,6-12,
109960,2014/08/17 22:05,2014/08/17 22:15,2014/08/17 22:09,S18W64,B8.2,808,-350,0,0,0,no,
109970,2014/08/18 02:00,2014/08/18 02:07,2014/08/18 02:03,N09E63,B4.9,-834,148,0,15,0,6-12,
109980,2014/08/18 07:54,2014/08/18 08:05,2014/08/18 07:59,S18W66,B8.1,827,-341,0,23,0,no,
109990,2014/08/18 09:22,2014/08/18 09:27,2014/08/18 09:25,S20W70,B4.4,839,-359,0,12,0,no,
110000,2014/08/18 13:26,2014/08/18 14:14,2014/08/18 13:50,S11E71,C1.8,-853,-248,0,40,0,25-50,
110010,2014/08/18 16:47,2014/08/18 17:05,2014/08/18 16:56,N10W18,C1.2,331,113,15,15,0,12-25,
